Title,Year,Rating,Imdb,Time,Location
Bulworth,1998,5,6.8,1:48,Coffin
Burn after reading,2008,6,7,1:36,Drawer
Butterfly on a wheel,2007,,6.6,1:35,Box
Cafe Society,2016,7,6.6,1:36,Shelf
Candy,2006,,7.2,1:48,Box
Capone,2020,4,4.7,1:43,Coffin
Capote,2005,8,7.3,1:54,Spider
Captain Phillips,2013,9,7.8,2:14,Drawer
Carlito's Way,1993,7,7.9,2:24,Drawer
Carlitos Way Rise To Power,2005,5,5,1:40,
Carnage,2011,5,7.1,1:20,Drawer H
Casa de mi padre,2012,2,5.5,1:24,Coffin 
Casanova,2005,,6.5,1:52,Box
Cash,2010,,5.9,1:48,Box
Casino,1995,8,8.2,2:58,Shelf
Casino Jack,2010,6,6.2,1:48,Drawer
Cassandras Dream,2007,6,6.6,1:48,Drawer
Cast Away,2000,6,7.8,2:23,
Catch .44,2011,6,4.6,1:34,Drawer H
Catch & Release,2006,7,5.9,2:04,
Catch a fire,2006,8,6.7,1:41,Drawer H
Celeste and Jesse Forever,2012,5,6.6,1:32,Coffin
Changeling,2008,9,7.7,2:21,
Changing Lanes,2002,6,6.5,1:38,Drawer
Charlie Wilson's War,2007,7,7,1:42,
Chasing Amy,1997,10,7.2,1:53,Shelf
Chasing Ghosts,2005,,5.3,1:59,Box
Chasing Mavericks,2012,6,7.1,1:56,Coffin 
Che Part 1 Argentine,2000,,7.1,2:14,Drawer
Che Part 2 Guerilla,2000,,6.8,2:15,Drawer
Cheaper by the dozen,2003,,5.9,1:38,Box
Cheaper by the dozen 2,2005,,5.6,1:34,Box
Children of Men,2006,8,7.9,1:49,Drawer H
Chips,2017,,6,1:40,Box
Chloe,2009,6,6.3,1:36,
Chocolat,2000,7,7.3,2:01,Coffin 
Chopper,2000,7,7.1,1:34,
Ciderhusreglerna,1999,8,7.4,2:06,
Cinderella Man,2005,8,8,2:24,Spider
Citizen Kane,1941,7,8.3,1:59,Spider
City of God,2002,10,8.6,2:10,Shelf
City State,2011,6,5.6,1:27,Box
Claim,2002,,5.4,1:33,Drawer H
Clerks,1994,10,7.7,1:32,Shelf
Clerks 2,2006,10,7.3,1:37,Shelf
Clerks Uncensored,2000,10,7.4,0:22,Coffin
Click,2006,,6.4,1:47,Box
Clockers,1995,8,6.9,2:08,Drawer
Closer,2004,7,7.1,1:44,Box
Coach Carter,2005,7,7.3,2:16,
Coal Miners Daugther,1980,10,7.5,2:04,Shelf
Coco Chanel & Igor Stravinskij,2009,5,6.3,1:59,Coffin
Coffe and cigarettes,2003,6,7,1:35,Spider
Cold comes the night,2013,7,5.7,1:30,Drawer H
Cold mountain,2003,8,7.2,2:34,Drawer
Collateral Beauty,2016,5,6.8,1:37,Drawer H
Colombiana,2011,7,6.4,1:48,Drawer H
Columbus circle,2012,7,5.9,1:22,Drawer H
Conan the barbarian,1982,9,6.9,2:09,Spider
Conan the Barbarian,2011,7,5.2,1:53,Drawer H
Conan the destroyer,1984,8,5.9,1.43,Spider
Conexpress,2002,,4.1,1:34,Coffin
Confessions of a shopaholic,2009,,5.9,1:44,Box
Confidence,2003,6,6.6,1:37,Drawer H
Contraband,2012,7,6.4,1:49,Drawer H
Control,2007,8,7.7,2:02,Coffin
Conviction,2010,8,7.2,1:47,Drawer H
Cop Land,1997,8,7,1:45,
Cosmopolis,2012,,5.1,1:49,Box
Country Strong,2010,10,6.3,1:57,Shelf 
Cowboys & Aliens,2011,6,6,1:59,Drawer H
Coyote Ugly,2000,6,5.7,1:40,
Crash,2004,9,7.8,1:52,Shelf
Crazy Beautiful,2001,6,6.4,1:39,
Crazy Heart,2009,10,7.2,1:52,Shelf
"Crazy, stupid, love",2011,7,7.4,1:58,
Crossing over,2009,,6.7,1:53,Box
Dag och natt,2004,,6.5,1:35,Spider
Dances with Wolves,1990,,8,3:01,Shelf
Dangerous Liaisons,1988,6,7.6,1:59,
Daybreakers,2009,6,6.4,1:38,Drawer H
Dazed and confused,1993,6,7.6,1:43,Coffin
De Omutbara,1987,8,7.8,1:59,Shelf
Dead fish,2005,,5.3,1:38,Box
Dead man running,2009,,5.9,1:32,Box
Dead mans walk,1996,,7.2,1:31,Coffin
Deadwood Season 1-3,2004,10,8.6,1:00,Shelf
Dealer ,2014,,6.3,1:15,Box
Dealers (Bristol Boys),2006,7,5.6,1:28,
Dear John,2010,6,6.3,1:48,
Dear Wendy,2005,5,6.5,1:45,Drawer H
Death at a funeral ,2010,6,5.7,1:32,Box
Death Proof ,2007,7,7,2:07,Shelf
December Boys,2007,,6.5,1:45,Drawer
Deception,2008,,6,1:47,Box
Deepwater,2005,7,5.3,1:33,Drawer
Den där Mary,1998,7,7.1,1:59,
Den ofrivillige golfaren,1991,,5.7,1:47,
Den Svarta Dahlian,2006,6,5.6,2:01,
Den tredje mand,1949,6,8.1,1:33,
Derailed,2005,7,6.6,1:48,Drawer H
Desperado,1995,7,7.1,1:44,
Desperate housewives season 1,2004,,7.6,0:45,
Desperate housewives season 2,2004,,7.6,0:45,
Desperate Measures,1998,6,6.1,1:40,Drawer H
Detour,2016,6,6.2,1:37,Coffin
Diana,2013,,5.6,1:53,Box
Dice Rules,1991,7,5.4,1:28,
Die Hard,1988,9,8.2,2:12,
Die Hard 2,1990,7,7.2,2:04,Box
Die Hard 4.0,2007,,7.1,2:08,Box
Die Hard with a vengance,1995,5,7.6,2:08,Box
Dinner for Schmucks,2010,,5.9,1:54,Box
Direct Contact,2009,,4.2,1:30,Box
Dirty,2005,8,5.5,1:37,Drawer H
Dirty Harry,1971,7,7.7,1:42,Spider
Dirty Harry 2 Magnum Force,1973,6,7.2,2:04,Spider
Dirty Harry 3 The Enforcer,1976,6,6.7,1:36,Spider
Dirty Harry 4 Sudden Impact,1983,,6.6,1:57,Spider
Disgrace,2008,,6.5,1:59,
disturbia,2007,,6.8,1:45,Box
Django Unchained,2012,8,8.5,2:45,Shelf
Djävulen bär Prada,2006,6,6.9,1:49,
Do the right thing,1989,9,8,2:00,Spider
Dog pound,2010,6,7,1:31,Coffin
Dogma,1999,10,7.3,2:10,Shelf
Dolan's Cadillac,2009,,5.7,1:29,Coffin
Domino,2019,6,4.4,2:07,Coffin
Donnie Brasco,1997,8,7.7,2:07,
Donnie Darko,2001,8,8,1:53,Spider
Donnie Darko,2001,8,8,1:53,
Donnybrook,2018,,5.4,1:41,Box
Dottern,2015,6,6.6,1:36,Coffin
Down to you,2000,5,5,1:31,Drawer
Dracula 2001,2000,2,4.9,1:39,Coffin
Draft Day,2014,5,6.8,1:50,Coffin 
Dragon The Bruce Lee Story,1993,10,7,2:00,Shelf
Drinking Buddies,2013,8,6.1,1:30,Shelf
Drug Wars,1990,,6.6,4:30,Box
Du gör mig galen,2012,8,7.7,2:02,Drawer H
Du kommer möta en mörk främling,2010,8,6.3,1:38,Shelf
Due Date,2010,7,6.5,1:35,Coffin
Duets,2000,7,6.1,1:52,Drawer H
Duplex,2003,4,5.9,1:29,Drawer H
Duplicity ,2009,,6.1,2:05,Box
E.T.,1982,,7.9,1:55,Box
Eagle Eye,2008,5,6.6,1:58,Drawer
Eagle Eye,2008,5,6.6,1:58,
Eastern Promises,2007,8,7.6,1:40,
Easy Rider,1969,7,7.3,1:35,Coffin
Eat Pray Love,2010,5,5.8,2:13,
Edge of Madness,2002,7,6.2,1:39,
Edmond,2005,6,6.2,1:22,
EDtv,1999,6,6.1,2:02,
El Mariachi,1992,8,6.8,1:21,
Elegy,2008,,6.7,1:52,Box
Elephant white,2011,,5,1:31,Box
Elizabeth The golden age,2007,,6.8,1:54,Box
Elizabethtown,2005,8,6.4,2:03,Shelf
Elysium,2013,6,6.6,1:49,Drawer H
En ängel vid mitt bord,1990,,7.5,2:38,
En dag i livet,2005,8,7,1:48,
En djävulsk romans,1999,10,6.8,1:37,Shelf
En enkel plan,1998,7,7.5,2:01,Coffin
En enkel till Antibes,2011,7,6.1,1:45,
En långvarig förlovning,2004,,7.6,2.13,Coffin
En sen kväll på McCools,2001,7,6.1,1:33,Coffin
End of Watch,2012,8,7.6,1:49,Shelf
Equity,2016,,5.6,1:40,Box
Eternal sunshine of the the spotless mind,2004,8,8.3,1:48,Spider
Ett hus av sand och dimma,2003,8,7.5,2:06,Coffin
Evening,2007,,6.4,1:57,Box
Every day life,2010,7,5.7,1:33,
Everybody wants some!!,2016,,6.9,1:57,Box
Evil Woman (Saving Silverman),2001,6,5.9,1:32,Drawer H
Extreme movie,2008,,3.7,1:26,
Factory Girl,2006,8,6.3,1:30,Drawer
Factotum,2005,10,6.6,1:34,Spider
Fair Game,2010,8,6.8,1:48,Coffin
Familjen Belier,2014,7,7.3,1:46,Coffin
Fantastic four,2005,3,5.7,1:46,Spider
Fantomen,1996,8,5,1:40,Coffin
Far from heaven,2002,6,7.3,1:47,
Faro,2013,,5.6,1:28,Box
Fasandraeberne,2014,8,7.1,1:59,
Fast food nation,2006,,6.3,1:56,Box
Faster,2010,,6.4,1:38,Box
Fat City,1972,7,7.3,1:36,
Fay Grim,2006,5,6.1,1:58,Drawer H
Fear and loathing in Las Vegas,1998,9,7.6,1:58,Spider
Fear City,1984,6,5.7,1:35,
Feast of Love,2007,,6.5,1:37,Box
Fifty dead men walking,2008,7,6.8,1:57,Drawer
Fifty Pills,2006,6,4.9,1:25,Drawer
Fighting,2009,6,5.6,1:45,
Fighting Tommy Riley,2004,,6.5,1:49,Box
Finding Amanda,2008,8,5.5,1:36,Drawer
Finding Neverland,2004,6,7.6,1:46,Spider
Firefly,2002,10,9,0:45,Shelf
Firewall,2006,,5.8,1:45,Box
First Man,2018,7,7.3,2:21,
Fist Fight,2017,4,5.6,1:31,Drawer H
Five Fingers,2006,,6.3,1:27,Box
Five minarets in New York,2010,,5.7,1:59,Box
Flag Day,2021,8,5.4,1:49,
Flags of our Fathers,2006,,7.1,2:15,
Flawless,2007,,6.7,1:48,Box
Flickan ,2009,7,6.7,1:40,Coffin
Flickvänner från förr,2009,7,5.8,1:40,
Flightplan,2005,7,6.3,1:38,Drawer H
Florence Foster Jenkins,2016,,6.8,1:51,Coffin
Flykten från Alcatraz,1979,7,7.5,1:52,
Focus,2015,6,6.6,1:45,Drawer H
Född the fjärde juli,1989,8,7.2,2:25,
Förälskad Förvirrad,2005,6,6.9,2:05,
Forgetting Sarah Marshall,2008,7,7.1,1:51,Drawer H
Four Lions,2010,,7.3,1:37,Box
Fragments (Winged Creatures),2008,,5.6,1:40,Box
Frankie & Johnny,1991,7,6.7,1:58,
Freaky Deaky,2012,,5.6,1:30,Box
Free fire,2016,6,6.3,1:31,
Free State of Jones,2016,8,6.9,2:19,
Freelancers,2012,,4.7,1:36,Box
French Connection,1971,7,7.7,1:44,Spider
French Connection 2,1975,,6.8,1:59,Spider
Friends With Benefits,2011,7,6.5,1:49,
From Dusk Till Dawn,1996,7,7.2,1:48,Coffin
From Hell,2001,6,6.7,2:02,
From Paris with love,2010,5,6.4,1:32,Drawer H
Fronten e Python,1983,,4.8,1:47,
Fun Size,2012,,5.4,1:26,Box
Fury,2014,,7.6,2:14,
Gangs of New York,2002,7,7.5,2:47,
Gemma Bovery,2014,,6.4,1:39,Box
Get Low The Funeral Party,2009,6,7,1:43,Drawer H
Ghost in the shell,2017,5,6.3,1:47,Coffin
Ghost ship,2002,5,5.5,1:31,Coffin
Gigli,2003,5,2.7,2:01,Drawer H
Girls just want to have fun,1985,6,5.9,1:30,
Give em hell Malone,2009,5,5.8,1:36,Drawer H
Gladiator,2000,8,8.5,2:35,Shelf
Gladiatress,2004,4,4.2,1:29,Coffin
Glory Road,2006,7,7.2,1:58,Drawer H
God's Army,1995,7,6.4,1:38,
Gökboet,1975,7,8.7,2:13,
Gone Baby Gone,2007,8,7.6,1:54,
Good Cop Bad Cop,2006,,6.7,1:57,Box
Good luck Chuck,2007,6,5.6,1:36,Drawer H
"Good morning, Vietnam",1987,7,7.3,2:01,
"Good night, and good luck",2005,4,7.4,1:33,
Good will hunting,1997,8,8.4,2:06,
Gospell Hill,2008,,5.5,1:39,Box
Gothika,2003,7,5.8,1:38,
Gotti,2010,6,4.8,1:28,
Gran Torino,2008,9,8.1,1:56,Coffin
Grand theft Parsons,2003,6,6,1:28,Drawer H
Gravity,2013,7,7.7,1:31,Drawer H
Greenberg,2010,8,6.1,1:47,Coffin
Grudge Match,2013,,6.4,1:53,Box
Guardians of the galaxy vol. 2,2017,6,7.6,2:16,Drawer H
Guilty,2006,7,7,2:05,Drawer
Hall Pas,2011,6,5.9,1:45,Drawer H
Hälsoresan,1999,,4.4,1:45,
Hämnden,2010,,7.6,1:58,Box
Hancock,2008,,6.4,1:32,
Hands of Stone,2016,8,6.6,1:51,Coffin
Hang em high,1968,6,7,1:54,Drawer H
Hansel & Gretel,2013,,6.1,1:28,Box
Happy Hour,2003,7,6.2,1:33,
Happy Tears,2009,,5.2,1:32,Box
Hard Luck,2006,,5.1,1:41,Box
Hardball,2001,7,6.4,1:46,Drawer H
Harry Potter och den flammande bägaren,2005,,7.7,2:37,Spider
Head in the Clouds,2004,,6.5,2:12,Drawer
Heartbreaker,2010,6,6.7,1:45,Drawer
Heartbreakers,2001,,6.3,2:03,Box
Heat,1995,7,8.3,2:50,Shelf
Heathers,1988,7,7.2,1:43,
Helens små underverk,2004,,6,1:59,Box
Hellboy,2004,7,6.8,2:02,Spider
Hellraiser ,1987,,6.9,1:34,
Hellraiser 2,1988,,6.4,1:37,
Hells Angels on Wheels,1967,6,5.1,1:35,
Here comes the boom,2012,7,6.4,1:45,
